SURVEY#,NAME,ORG,LOCATION,Group,1_AGE,1_SEX,2_EDU,3_ENGLISH,5_INTERNET_SYRIA,5_INTERNET_JORDAN,6_SOCIAL_MEDIA_SYRIA,6_SOCIAL_MEDIA_JORDAN,7_WATCH_VIDEOS_SYRIA,7_WATCH_VIDEOS_JORDAN,8_INFO_SRC_SYRIA,8_INFO_FREQ_SYRIA,8_INFO_FREQ_JORDAN,9_INTERNET_HOW_SYRIA_MYMOBILE_TRUEORFALSE,9_INTERNET_HOW_SYRIA_ELSEPHONE_TRUEORFALSE,9_INTERNET_HOW_SYRIA_MYCOMPUTERTOMOBILENETWORK_TRUEORFALSE,9_INTERNET_HOW_SYRIA_ELSECOMPUTERTOMOBILENETWORK_TRUEORFALSE,9_INTERNET_HOW_SYRIA_MYCOMPUTERTOWIFINETWORK_TRUEORFALSE,9_INTERNET_HOW_SYRIA_ELSECOMPUTERTOWIFI_TRUEORFALSE,9_INTERNET_HOW_SYRIA_IDONTKNOW,MULTIPLE_CHOICE_INTERNET_HOW_SYRIA,10_INTERNET_LOCATION_SYRIA_HOME_TUREORFALSE,10_INTERNET_LOCATION_SYRIA_SCHOOL_TRUEORFALSE,10_INTERNET_LOCATION_SYRIA_INTERNETCAFE_TRUEORFALSE,10_INTERNET_LOCATION_SYRIA_FRIENDSHOUSE_TRUEORFALSE,10_INTERNET_LOCATION_SYRIA_FAMILY_TRUEORFALSE,10_INTERNET_LOCATION_SYRIA_OTHER_TRUEORFALSE,10_INTERNET_HOW_JORDAN_IDONTKNOW_TRUEORFALSE,MULTIPLE_CHOICE_INTERNET_WHERE_SYRIA,11_INTERNET_HOW_JORDAN_MYPHONE_TRUEORFALSE,11_INTERNET_HOW_JORDAN_ELSEPHONE_TRUEORFALSE,11_INTERNET_HOW_JORDAN_MYCOMPUTERTOMOBILENETWORK_TRUEORFALSE,11_INTERNET_HOW_JORDAN_ELSECOMPUTERTOMOBILENETWORK_TRUEORFALSE,11_INTERNET_HOW_JORDAN_MYCOMPUTERTOWIFI_TRUEORFALSE,11_INTERNET_HOW_JORDAN_ELSECOMPUTERTOWIFI_TRUEORFALSE,11_INTERNET_HOW_JORDAN_IDONTKNOW,MULTIPLE_CHOICE_INTERNET_HOW_JORDAN,12_INFO_SRC_JORDAN,12_INFO_SRC_JORDAN_FQC,13_HANDSET_OWNERSHIP,13_HANDSET_MODEL,13_HANDSET_SIM_NUMBER,14_SIM_OWN_NUMBER,14_SIM_BORROW_NUMBER,15_CARRIER_SIM_ZAIN,15_CARRIER_SIM_ORANGE,15_CARRIER_SIM_UMNIAH,15_CARRIER_SIM_AREEBA,15_CARRIER_SIM_SYRIATEL,15_CARRIER_SIM_OTHER,CONSISTENCY_2,16_COMM_APP_FREQ_SYRIA_COUNT_MOBILEVOICE,16_COMM_APP_FREQ_SYRIA_COUNT_SMS,16_COMM_APP_FREQ_SYRIA_COUNT_WHATSAPP,16_COMM_APP_FREQ_SYRIA_COUNT_VIBER,16_COMM_APP_FREQ_SYRIA_COUNT_SKYPE,16_COMM_APP_FREQ_SYRIA_COUNT_EMAIL,16_COMM_APP_FREQ_SYRIA_COUNT_OTHER1,16_COMM_APP_FREQ_SYRIA_COUNT_OTHER2,17_MOBILE_CHOICE_SYRIA,18_COMM_APP_FREQ_JORDAN_COUNT_MOBILEVOICE,18_COMM_APP_FREQ_JORDAN_COUNT_SMS,18_COMM_APP_FREQ_JORDAN_COUNT_WHATSAPP,18_COMM_APP_FREQ_JORDAN_COUNT_VIBER,18_COMM_APP_FREQ_JORDAN_COUNT_SKYPE,18_COMM_APP_FREQ_JORDAN_COUNT_EMAIL,18_COMM_APP_FREQ_JORDAN_COUNT_OTHER1,18_COMM_APP_FREQ_JORDAN_COUNT_OTHER2,19_MOBILE_SERV_CHOICE_JORDAN,20_DISTRICT_CALL_SYRIA,21_DISTRICT_CALL_JORDAN,22_ONLINE_ACTIVITY_INTEREST_COUNT_ONLINEEDU,22_ONLINE_ACTIVITY_INTEREST_COUNT_ONLINETRAINING,22_ONLINE_ACTIVITY_INTEREST_COUNT_INFORSEARCH,22_ONLINE_ACTIVITY_INTEREST_COUNT_NEWS,22_ONLINE_ACTIVITY_INTEREST_COUNT_JOBS,22_ONLINE_ACTIVITY_INTEREST_COUNT_MAPPING,22_ONLINE_ACTIVITY_INTEREST_COUNT_CONNECTPEOPLEINSIDECAMP,22_ONLINE_ACTIVITY_INTEREST_COUNT_CONNECTPEOPLEOUTSIDECAMP,22_ONLINE_ACTIVITY_INTEREST_COUNT_EMAIL,22_ONLINE_ACTIVITY_INTEREST_COUNT_SKYPE,22_ONLINE_ACTIVITY_INTEREST_COUNT_VIBER,22_ONLINE_ACTIVITY_INTEREST_COUNT_WHATSAPP,22_ONLINE_ACTIVITY_INTEREST_COUNT_TWITTER,22_ONLINE_ACTIVITY_INTEREST_COUNT_FACEBOOK,22_ONLINE_ACTIVITY_INTEREST_COUNT_YOUTUBE,22_ONLINE_ACTIVITY_INTEREST_COUNT_GAMING,22_ONLINE_ACTIVITY_INTEREST_COUNT_ENTERTAINMENT,23_ASSISTANCE_RECEIVE_YESORNO,23_ASSISTANCE_RECEIVE_COUNT_ONLINEEDU               ,23_ASSISTANCE_RECEIVE_COUNT_ONLINETRAINING,23_ASSISTANCE_RECEIVE_COUNT_INFOSEARCH,23_ASSISTANCE_RECEIVE_COUNT_NEWS,23_ASSISTANCE_RECEIVE_COUNT_JOBS,23_ASSISTANCE_RECEIVE_INTEREST_COUNT_MAPPING,23_ASSISTANCE_RECEIVE_COUNT_CONNECTPEOPLEINSIDEMAP,23_ASSISTANCE_RECEIVE_COUNT_CONNECTPEOPLEOUTSIDECAMP,23_ASSISTANCE_RECEIVE_COUNT_EMAIL,23_ASSISTANCE_RECEIVE_COUNT_SKYPE,23_ASSISTANCE_RECEIVE_COUNT_VIBER,23_ASSISTANCE_RECEIVE_COUNT_WHATSAPP,23_ASSISTANCE_RECEIVE_COUNT_TWITTER,23_ASSISTANCE_RECEIVE_COUNT_FACEBOOK,23_ASSISTANCE_RECEIVE_COUNT_YOUTUBE,23_ASSISTANCE_RECEIVE_COUNT_GAMING,23_ASSISTANCE_RECEIVE_COUNT_ENTERTAINMENT,CONSISTENCY_3,24_ASSISTANCE_OFFER_YESORNO,24_ASSISTANCE_OFFER_WHO_FAMILY_TRUEORFALSE,24_ASSISTANCE_OFFER_WHO_FRIENDS_TRUEORFALSE,24_ASSISTANCE_OFFER_WHO_CAMPSTAFF_TRUEORFALSE,24_ASSISTANCE_OFFER_WHO_CAMPVISITOR_TRUEORFALSE,24_ASSISTANCE_OFFER_WHO_OTHERSINSIDECAMP_TRUEORFALSE,24_ASSISTANCE_OFFER_WHO_OTHERSOUTSIDECAMP_TRUEORFALSE,24_ASSISTANCE_OFFER_WHO_OTHERS_TRUEORFALSE,24_ASSISTANCE_OFFER_COUNT_ONLINEEDU,24_ASSISTANCE_OFFER_COUNT_ONLINETRAINING,24_ASSISTANCE_OFFER_COUNT_INFOSEARCH,24_ASSISTANCE_OFFER_COUNT_NEWS,24_ASSISTANCE_OFFER_COUNT_JOBS,24_ASSISTANCE_OFFER_COUNT_MAPPING,24_ASSISTANCE_OFFER_COUNT_CONNECTPEOPLEINSIDECAMP,24_ASSISTANCE_OFFER_COUNT_CONNECTPEOPLEOUTSIDECAMP,24_ASSISTANCE_OFFER_COUNT_EMAIL,24_ASSISTANCE_OFFER_COUNT_SKYPE,24_ASSISTANCE_OFFER_COUNT_VIBER,24_ASSISTANCE_OFFER_COUNT_WHATSAPP,24_ASSISTANCE_OFFER_COUNT_TWITTER,24_ASSISTANCE_OFFER_COUNT_FACEBOOK,24_ASSISTANCE_OFFER_COUNT_YOUTUBE,24_ASSISTANCE_OFFER_COUNT_GAMING,24_ASSISTANCE_OFFER_COUNT_ENTERTAINMENT,FINISH_TRUEORFALSE
90,DI,UCSB,NRC/teaching,center,24,female,some_university,fair,occasionally,occasionally,no_never,once_per_day,monthly,monthly,,,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,,,TRUE,Samsung,1,1,1,1,,,,,,consistent,monthly,weekly,weekly,no_never,no_never,no_never,no_never,no_never,no_preference,occasionally,occasionally,occasionally,no_never,no_never,no_never,no_never,no_never,Jordanian_mobile_service,do_not_know,10,very_interested,not_at_all_interested,neutral,somewhat_interested,somewhat_interested,not_at_all_interested,somewhat_interested,somewhat_interested,not_at_all_interested,not_at_all_interested,not_at_all_interested,somewhat_interested,not_at_all_interested,not_at_all_interested,not_at_all_interested,not_at_all_interested,neutral,TRUE,,very_important,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,TRUE
78,DI,UCSB,NRC/teaching,center,27,male,some_university,excellent,multiple_times_per_day,multiple_times_per_day,multiple_times_per_day,multiple_times_per_day,once_per_day,multiple_times_per_day,wikipedia,once_per_day,multiple_times_per_day,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1,,,TRUE,alcatel,2,2,1,1,1,,,,,consistent,weekly,occasionally,multiple_times_per_day,monthly,monthly,no_never,multiple_times_per_day,,Jordanian_mobile_service,multiple_times_per_day,occasionally,multiple_times_per_day,weekly,monthly,no_never,multiple_times_per_day,,Jordanian_mobile_service,5,2,very_interested,very_interested,somewhat_interested,very_interested,somewhat_interested,somewhat_interested,somewhat_interested,somewhat_interested,neutral,neutral,neutral,somewhat_interested,neutral,somewhat_interested,somewhat_interested,somewhat_disinterested,neutral,TRUE,slightly_important,slightly_important,slightly_important,slightly_important,slightly_important,slightly_important,slightly_important,slightly_important,slightly_important,slightly_important,slightly_important,slightly_important,slightly_important,slightly_important,very_important,slightly_important,slightly_important,,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,very_important,very_important,very_important,very_important,very_important,moderately_important,very_important,very_important,slightly_important,very_important,very_important,very_important,slightly_important,very_important,moderately_important,moderately_important,very_important,TRUE
79,DI,UCSB,NRC/teaching,center,25,male,some_university,fair,once_per_day,multiple_times_per_day,occasionally,occasionally,no_never,once_per_day,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,youtube,once_per_day,TRUE,SamsungGalaxy,2,1,1,1,,,,,,consistent,occasionally,no_never,multiple_times_per_day,multiple_times_per_day,occasionally,monthly,occasionally,occasionally,Syrian_mobile_service,multiple_times_per_day,no_never,multiple_times_per_day,no_never,no_never,no_never,no_never,no_never,Jordanian_mobile_service,do_not_know,8,not_at_all_interested,not_at_all_interested,very_interested,very_interested,very_interested,very_interested,very_interested,very_interested,not_at_all_interested,neutral,very_interested,very_interested,not_at_all_interested,very_interested,very_interested,not_at_all_interested,very_interested,TRUE,very_important,very_important,very_important,very_important,very_important,very_important,very_important,slightly_important,slightly_important,moderately_important,very_important,very_important,slightly_important,moderately_important,moderately_important,slightly_important,very_important,,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,very_important,very_important,very_important,very_important,very_important,very_important,very_important,very_important,very_important,very_important,very_important,very_important,moderately_important,very_important,very_important,very_important,moderately_important,TRUE
33,PS,UCSB,NRC/English,center,17,female,finished_primary_school,poor,no_never,no_never,no_never,no_never,no_never,weekly,,,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,,,FALSE,,1,,,,,,,1,,inconsistent,,,,multiple_times_per_day,,,,,,,,multiple_times_per_day,,,,,,Jordanian_mobile_service,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,TRUE
26,PS,UCSB,NRC/English,center,20,female,finished_secondary_vocational_school,good,weekly,multiple_times_per_day,no_never,multiple_times_per_day,no_never,weekly,google,weekly,once_per_day,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,,,TRUE,SamsungGalaxy,2,2,2,1,,1,,,,consistent,,,multiple_times_per_day,once_per_day,,once_per_day,,,no_preference,multiple_times_per_day,,multiple_times_per_day,,,,,,,do_not_know,4,,very_interested,somewhat_interested,very_interested,neutral,somewhat_interested,very_interested,very_interested,very_interested,not_at_all_interested,somewhat_interested,very_interested,neutral,very_interested,somewhat_interested,not_at_all_interested,somewhat_interested,FALSE,,,,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,very_important,very_important,,moderately_important,very_important,very_important,moderately_important,slightly_important,very_important,very_important,moderately_important,very_important,,slightly_important,moderately_important,TRUE
37,PS,UCSB,NRC/English,center,27,male,finished_university,fluent,multiple_times_per_day,multiple_times_per_day,multiple_times_per_day,multiple_times_per_day,weekly,weekly,google,once_per_day,multiple_times_per_day,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1,personal computer,multiple_times_per_day,TRUE,Nokia,1,2,2,1,,,,,,consistent,weekly,no_never,multiple_times_per_day,monthly,no_never,no_never,,,Syrian_mobile_service,multiple_times_per_day,occasionally,multiple_times_per_day,weekly,monthly,occasionally,,,Jordanian_mobile_service,1,4,neutral,neutral,somewhat_interested,very_interested,somewhat_interested,very_interested,very_interested,very_interested,somewhat_interested,somewhat_interested,very_interested,very_interested,very_interested,very_interested,very_interested,somewhat_interested,neutral,TRUE,moderately_important,very_important,very_important,very_important,very_important,very_important,very_important,very_important,,moderately_important,moderately_important,very_important,very_important,very_important,very_important,slightly_important,moderately_important,,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,very_important,very_important,very_important,very_important,very_important,very_important,very_important,very_important,moderately_important,moderately_important,slightly_important,very_important,moderately_important,very_important,very_important,moderately_important,very_important,TRUE
36,PS,UCSB,NRC/English,center,20,female,finished_secondary_vocational_school,fair,no_never,multiple_times_per_day,multiple_times_per_day,once_per_day,no_never,occasionally,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,,,TRUE,SamsungGalaxyS,1,1,1,1,,,,,,consistent,,,use_but_not_sure_about_frequency,multiple_times_per_day,,,,,Syrian_mobile_service,use_but_not_sure_about_frequency,multiple_times_per_day,,,,,,,Jordanian_mobile_service,do_not_know,do_not_know,,,,,,,,,,,,very_interested,,,,,,TRUE,very_important, moderately_important,very_important,very_important,slightly_important,slightly_important,very_important,very_important,slightly_important,very_important,very_important,very_important,very_important,very_important,very_important,very_important,very_important,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,very_important,very_important,moderately_important,very_important,moderately_important,slightly_important,moderately_important,,very_important,moderately_important,,very_important,,moderately_important,slightly_important,very_important,moderately_important,TRUE
32,PS,UCSB,NRC/English,center,20,female,some_secondary_vovational_school,good,no_never,occasionally,occasionally,no_never,no_never,monthly,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,,,TRUE,SamsungGalaxy,1,1,1,,,1,,,,consistent,,,multiple_times_per_day,,,,,,,,,multiple_times_per_day,,,,,,Syrian_mobile_service,,,,,,,,,,,,,,somewhat_interested,,,,,,FALSE,slightly_important,,,,,,,,,,,,,,,,,inconsistent,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,moderately_important,,very_important,very_important,very_important,,very_important,very_important,very_important,,very_important,moderately_important,moderately_important,moderately_important,TRUE
29,PS,UCSB,NRC/English,center,21,female,finished_elementary,poor,no_never,no_never,occasionally,occasionally,no_never,occasionally,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,,,FALSE,,,,,,,,,,,consistent,occasionally,no_never,no_never,no_never,no_never,no_never,,,no_preference,no_never,no_never,no_never,no_never,no_never,no_never,,,no_preference,,,not_at_all_interested,not_at_all_interested,not_at_all_interested,not_at_all_interested,not_at_all_interested,not_at_all_interested,not_at_all_interested,not_at_all_interested,not_at_all_interested,not_at_all_interested,not_at_all_interested,not_at_all_interested,not_at_all_interested,not_at_all_interested,not_at_all_interested,not_at_all_interested,,TRUE,slightly_important,slightly_important,slightly_important,slightly_important,slightly_important,slightly_important,slightly_important,slightly_important,slightly_important,slightly_important,slightly_important,slightly_important,slightly_important,slightly_important,slightly_important,slightly_important,slightly_important,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,slightly_important,slightly_important,slightly_important,slightly_important,slightly_important,slightly_important,moderately_important,slightly_important,,slightly_important,,moderately_important,slightly_important,moderately_important,slightly_important,slightly_important,slightly_important,TRUE
35,PS,UCSB,NRC/English,center,31,female,finished_primary_school,fair,,no_never,no_never,no_never,no_never,occasionally,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,2,,,TRUE,SamsungGalaxy,1,1,1,1,,,,,,consistent,,,multiple_times_per_day,,,,,,,,,multiple_times_per_day,,,,,,no_preference,do_not_know,do_not_know,,,,,,,,,,,,very_interested,,,,,,TRUE,,,,slightly_important,,,,very_important,,,,,,,,,,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,FALSE
34,PS,UCSB,NRC/English,center,19,female,some_university,fair,occasionally,multiple_times_per_day,occasionally,multiple_times_per_day,no_never,occasionally,google,occasionally,occasionally,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,facebook,once_per_day,TRUE,SamsungGalaxyS,2,1,2,1,1,,,,,consistent,occasionally,no_never,once_per_day,no_never,no_never,once_per_day,,,Syrian_mobile_service,no_never,no_never,,once_per_day,no_never,no_never,,,Syrian_mobile_service,do_not_know,do_not_know,somewhat_interested,very_interested,very_interested,not_at_all_interested,very_interested,neutral,somewhat_interested,somewhat_interested,neutral,neutral,neutral,neutral,somewhat_interested,somewhat_interested,somewhat_interested,somewhat_interested,somewhat_interested,TRUE,moderately_important, moderately_important,moderately_important,moderately_important,very_important,moderately_important,slightly_important,moderately_important,slightly_important,slightly_important,moderately_important,very_important,moderately_important,slightly_important,slightly_important,slightly_important,slightly_important,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,moderately_important,moderately_important,very_important,moderately_important,moderately_important,moderately_important,very_important,moderately_important,moderately_important,moderately_important,slightly_important,slightly_important,slightly_important,slightly_important,slightly_important,slightly_important,slightly_important,TRUE
30,PS,UCSB,NRC/English,center,17,female,some_elementary_school,fair,no_never,no_never,no_never,no_never,no_never,occasionally,,,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,,,TRUE,Nokia,1,1,1,,1,,,,,consistent,occasionally,occasionally,occasionally,occasionally,occasionally,occasionally,,,,occasionally,occasionally,occasionally,occasionally,occasionally,occasionally,,,no_preference,,,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,TRUE,slightly_important,slightly_important,slightly_important,slightly_important,slightly_important,slightly_important,slightly_important,slightly_important,slightly_important,slightly_important,slightly_important,slightly_important,slightly_important,slightly_important,slightly_important,slightly_important,slightly_important,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,slightly_important,slightly_important,slightly_important,slightly_important,slightly_important,slightly_important,slightly_important,slightly_important,slightly_important,slightly_important,slightly_important,slightly_important,slightly_important,slightly_important,slightly_important,slightly_important,slightly_important,TRUE
28,PS,UCSB,NRC/English,center,16,female,finished_elementary,good,no_never,no_never,occasionally,weekly,occasionally,no_never,Doa'a Abdulruhman,occasionally,monthly,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,4,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,3,,,TRUE,SamsungGalaxy,1,1,1,1,1,,,1,,consistent,,occasionally,occasionally,occasionally,,,,,no_preference,occasionally,occasionally,occasionally,occasionally,occasionally,occasionally,,,Syrian_mobile_service,do_not_know,do_not_know,somewhat_interested,somewhat_interested,,somewhat_interested,,,,,,,,,,,,,,FALSE,slightly_important,slightly_important,moderately_important,moderately_important,moderately_important,moderately_important,,moderately_important,very_important,,very_important,very_important,very_important,very_important,very_important,very_important,very_important,inconsistent,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,moderately_important,moderately_important,moderately_important,slightly_important,,slightly_important,slightly_important,slightly_important,slightly_important,moderately_important,moderately_important,moderately_important,moderately_important,moderately_important,moderately_important,moderately_important,moderately_important,TRUE
265,YX,PSU,NRC/barbering,center,18,male,some_secondary_vovational_school,fair,,,no_never,multiple_times_per_day,occasionally,multiple_times_per_day,skype,occasionally,occasionally,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,no difference,occasionally,TRUE,Galaxy S4,1,1,1,2,1,,,,,consistent,,,multiple_times_per_day,,,,,,Syrian_mobile_service,,,multiple_times_per_day,,,,,,Jordanian_mobile_service,1,1,not_at_all_interested,somewhat_disinterested,somewhat_interested,very_interested,very_interested,somewhat_interested,very_interested,very_interested,somewhat_interested,somewhat_interested,somewhat_interested,somewhat_interested,somewhat_interested,somewhat_interested,somewhat_interested,somewhat_interested,somewhat_interested,TRUE,moderately_important,very_important,very_important,very_important,moderately_important,very_important,moderately_important,very_important,very_important,very_important,very_important,very_important,very_important,very_important,very_important,very_important,very_important,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,slightly_important,very_important,moderately_important,very_important,moderately_important,moderately_important,very_important,moderately_important,moderately_important,moderately_important,moderately_important,very_important,very_important,very_important,very_important,very_important,very_important,TRUE
253,YX,PSU,NRC/barbering,center,18,male,some_secondary_vovational_school,fair,occasionally,multiple_times_per_day,no_never,multiple_times_per_day,occasionally,once_per_day,google,once_per_day,multiple_times_per_day,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,chatviberfacebookwhat's,multiple_times_per_day,TRUE,SamsungGalaxy,2,2,2,1,,1,,,,consistent,,,multiple_times_per_day,,,,,,,multiple_times_per_day,,multiple_times_per_day,multiple_times_per_day,,,,,Jordanian_mobile_service,12,12,very_interested,very_interested,neutral,very_interested,somewhat_interested,not_at_all_interested,very_interested,somewhat_interested,very_interested,very_interested,neutral,very_interested,not_at_all_interested,very_interested,somewhat_interested,neutral,somewhat_disinterested,TRUE,very_important, moderately_important,moderately_important,moderately_important,slightly_important,very_important,moderately_important,very_important,moderately_important,slightly_important,very_important,slightly_important,very_important,moderately_important,moderately_important,,slightly_important,,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,very_important,moderately_important,moderately_important,very_important,moderately_important,very_important,very_important,moderately_important,moderately_important,slightly_important,very_important,,slightly_important,very_important,very_important,moderately_important,slightly_important,TRUE
257,YX,PSU,NRC/barbering,center,18,male,finished_primary_school,fair,occasionally,multiple_times_per_day,no_never,multiple_times_per_day,occasionally,multiple_times_per_day,skype,occasionally,occasionally,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,,,TRUE,Nokia&SamsungGalaxy,1,1,1,1,,,,,,consistent,multiple_times_per_day,multiple_times_per_day,weekly,occasionally,no_never,no_never,,,no_preference,,multiple_times_per_day,multiple_times_per_day,multiple_times_per_day,,,,,no_preference,1,1,somewhat_interested,neutral,very_interested,very_interested,not_at_all_interested,not_at_all_interested,very_interested,very_interested,not_at_all_interested,very_interested,very_interested,very_interested,,very_interested,very_interested,very_interested,very_interested,TRUE,moderately_important, moderately_important,moderately_important,very_important,slightly_important,slightly_important,very_important,very_important,very_important,very_important,very_important,very_important,very_important,very_important,very_important,very_important,very_important,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,very_important,very_important,moderately_important,moderately_important,moderately_important,very_important,very_important,very_important,very_important,very_important,very_important,very_important,very_important,very_important,very_important,very_important,very_important,TRUE
265,YX,PSU,NRC/barbering,center,18,male,some_secondary_vovational_school,fair,occasionally,multiple_times_per_day,no_never,multiple_times_per_day,occasionally,multiple_times_per_day,skype,occasionally,occasionally,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,no difference,occasionally,TRUE,SamsungGalaxy,1,1,1,1,1,,,,,consistent,,,multiple_times_per_day,,,,,,Syrian_mobile_service,,,multiple_times_per_day,,,,,,Jordanian_mobile_service,1,1,not_at_all_interested,somewhat_disinterested,somewhat_interested,very_interested,very_interested,somewhat_interested,very_interested,very_interested,somewhat_interested,somewhat_interested,somewhat_interested,somewhat_interested,somewhat_interested,somewhat_interested,somewhat_interested,somewhat_interested,somewhat_interested,TRUE,moderately_important,very_important,very_important,very_important,moderately_important,very_important,moderately_important,very_important,very_important,very_important,very_important,very_important,very_important,very_important,very_important,very_important,very_important,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,slightly_important,very_important,moderately_important,very_important,moderately_important,moderately_important,very_important,moderately_important,moderately_important,moderately_important,moderately_important,very_important,very_important,very_important,very_important,very_important,very_important,TRUE
